kind,off,sharpe,placebo_mean,p
rotation,679,-0.09293555087480189,-0.1506983158617127,0.4146341463414634
rotation,611,0.4986599051674784,-0.15036307569363405,0.07317073170731707
rotation,656,-0.15561853617895685,-0.19674769036883377,0.4878048780487805
rotation,993,0.5008662659056857,-0.058711712616596426,0.04878048780487805
rotation,1467,0.20667944255242315,-0.04936007271720937,0.1951219512195122
rotation,757,0.13929619107930932,-0.09200668979188469,0.2682926829268293
rotation,1171,-0.041149041122725126,-0.16068106153093686,0.34146341463414637
rotation,446,0.08377828780518713,-0.17000734984592641,0.21951219512195122
rotation,1553,-0.23769713703511472,-0.12642597431124428,0.7317073170731707
rotation,1470,0.15360443559115491,-0.042281296008633694,0.34146341463414637
rotation,1216,-0.04724914180559968,-0.053680517451833484,0.5853658536585366
rotation,481,-0.15026257144561228,-0.15521288874299116,0.4878048780487805
rotation,313,0.04398538386655295,-0.09108771922952166,0.3170731707317073
rotation,583,0.06676811640429478,-0.15277787377360932,0.1951219512195122
rotation,1028,0.3512831309275607,-0.04234011983615077,0.07317073170731707
rotation,540,0.3524239882517541,-0.1043687020261624,0.024390243902439025
rotation,650,-0.14234972782726066,-0.17659214319743455,0.4878048780487805
rotation,1563,-0.2986029165477216,-0.11957612889278835,0.7804878048780488
rotation,584,0.08078433451357724,-0.155710462392202,0.14634146341463414
rotation,1345,-0.007745386854649677,-0.08624623987155566,0.2926829268292683
flipped_obs,5000,-0.271219327432909,-0.16744926745896685,0.6341463414634146
flipped_obs,5001,-0.23119522818571092,-0.16744926745896685,0.5609756097560976
flipped_obs,5002,-0.07225034364235397,-0.16744926745896685,0.4146341463414634
flipped_obs,5003,-0.324380207787723,-0.16744926745896685,0.7073170731707317
flipped_obs,5004,-0.494574871987309,-0.16744926745896685,0.9024390243902439
flipped_obs,5005,-0.31723308337318284,-0.16744926745896685,0.7073170731707317
flipped_obs,5006,-0.18444000497160817,-0.16744926745896685,0.4878048780487805
flipped_obs,5007,-0.3305902897041687,-0.16744926745896685,0.7317073170731707
flipped_obs,5008,-0.307671079382464,-0.16744926745896685,0.7073170731707317
flipped_obs,5009,-0.001907748857649782,-0.16744926745896685,0.2682926829268293
flipped_obs,5010,-0.17306088132787295,-0.16744926745896685,0.4878048780487805
flipped_obs,5011,0.10828023524628372,-0.16744926745896685,0.14634146341463414
flipped_obs,5012,-0.14400167839779815,-0.16744926745896685,0.4634146341463415
flipped_obs,5013,0.10093317216749907,-0.16744926745896685,0.17073170731707318
flipped_obs,5014,0.02639033910151009,-0.16744926745896685,0.21951219512195122
flipped_obs,5015,-0.2794699940337017,-0.16744926745896685,0.6829268292682927
flipped_obs,5016,-0.6582104805526465,-0.16744926745896685,1.0
flipped_obs,5017,-0.45386773230087646,-0.16744926745896685,0.8536585365853658
flipped_obs,5018,-0.15786375164020602,-0.16744926745896685,0.4634146341463415
flipped_obs,5019,-0.07325575701534477,-0.16744926745896685,0.4146341463414634
flipped_obs,5020,0.256509853091549,-0.16744926745896685,0.07317073170731707
flipped_obs,5021,-0.054325329867313095,-0.16744926745896685,0.36585365853658536
flipped_obs,5022,-0.324903654429387,-0.16744926745896685,0.7073170731707317
flipped_obs,5023,-0.16134400857231684,-0.16744926745896685,0.4634146341463415
flipped_obs,5024,0.2600660673262325,-0.16744926745896685,0.07317073170731707
flipped_obs,5025,-0.13241433685730938,-0.16744926745896685,0.4634146341463415
flipped_obs,5026,-0.20721437913641938,-0.16744926745896685,0.5609756097560976
flipped_obs,5027,0.33646511357048725,-0.16744926745896685,0.07317073170731707
flipped_obs,5028,-0.4381616661450102,-0.16744926745896685,0.8292682926829268
flipped_obs,5029,0.016399881572869025,-0.16744926745896685,0.2682926829268293
