rebal,band,hl,dead,sh_1x,sh_2x,turn,cost1x,gross,ret1x,dd
monthly,2.0,0,0.1,0.4707181196537631,0.35889015825433584,28.84879246896287,0.0012651520852336293,0.5816462809749785,0.005362211396965924,-0.10710954381857474
daily,1.0,10,0.3,0.39646925778887787,0.31049118044046803,60.65884209053886,0.003391462792716436,0.48229308855247927,0.015651309609665147,-0.20225689509527367
monthly,1.0,3,0.3,0.3380224847563363,0.2681467484880664,31.344765513754464,0.001565338838229317,0.4077222460539443,0.007600345050022484,-0.16993201234229394
monthly,1.0,0,0.1,0.3562579057363814,0.2526814756739272,33.33111327347109,0.001535781478254943,0.4596226599538075,0.005318845757476575,-0.11806262334078865
monthly,0.5,3,0.3,0.29436350030211067,0.2319626638522045,34.216788094204745,0.001870616195023399,0.356735264883603,0.008868671374469048,-0.1697259744738756
daily,2.0,0,0.3,1.5373903167794767,0.2303151253056151,394.9318816813355,0.018657570160301593,2.8631956817795157,0.02203078776334684,-0.06388677800563736
monthly,1.0,0,0.3,0.3046840596158438,0.19852986736890596,36.499997429698304,0.0017141401269670027,0.4103257873065305,0.004926011077106289,-0.10469409894250892
daily,1.0,0,0.1,1.3155291874859492,0.17892393496067818,399.96956644767636,0.01831504711294602,2.4792252397476076,0.02127712012604936,-0.08544228450679159
biweekly,1.0,3,0.3,0.2744373036605538,0.17736901464058508,44.23154412195129,0.0022596664891852613,0.37159114823916845,0.006414093610481277,-0.13796873604740678
daily,0.5,0,0.1,1.2340867177318284,0.13727794059948922,444.2648017537781,0.021232777003017067,2.34772261157471,0.02394012781407722,-0.10277751501674792
biweekly,0.5,3,0.3,0.2123629981244321,0.11681081176379786,48.64705676458023,0.002670166129457434,0.3080485739308146,0.005948523119913514,-0.14999239456193525
monthly,2.0,0,0.3,0.18686511557240298,0.0595462252008266,33.15625515386054,0.001490418127989513,0.314009695629635,0.0021899911870916413,-0.1340358047527147
weekly,1.0,3,0.3,0.17829881176310905,0.05138251919523827,55.816050626470236,0.002912745304899187,0.30535665272720725,0.004094984970031005,-0.1523359539087502
biweekly,0.5,3,0.1,0.13114124087550902,0.046800946223336366,40.43054703421687,0.0019039112358093116,0.21574717928321585,0.002964535266436665,-0.16270726131437097
weekly,0.5,3,0.1,0.14346463788306918,0.027830523783136527,53.51000572075065,0.002603557874064698,0.25938473519320243,0.003231967666853808,-0.16406881037850796
weekly,2.0,0,0.3,0.20410839613891307,-0.008791704680906669,76.62526145175568,0.0035857978696727253,0.4171148996641075,0.003437326733705578,-0.15090427726385525
monthly,0.5,0,0.1,0.09091928039270503,-0.009653596759378127,36.877931862928065,0.0017769185640794652,0.19172564138212095,0.0016059672941906118,-0.13326826115032908
daily,0.5,3,0.1,0.16193549488793613,-0.03304699605680159,127.75384727880939,0.00629498362731023,0.35700608836185543,0.005227151515690971,-0.19531669089920078
biweekly,0.5,0,0.3,0.0501352156967366,-0.10097230519066308,63.52854692277339,0.0033965850104184982,0.20128239033465298,0.0011260082252349552,-0.15731112978328954
monthly,0.5,0,0.3,-0.03352570322595027,-0.11602280253884432,40.02843635813835,0.0020187451591621767,0.049200351052055634,-0.0008184845162157537,-0.1245873427089299
biweekly,1.0,0,0.3,0.010513809212978533,-0.15075097550733257,59.08702103627678,0.002952210456521966,0.17223263542938003,0.00019203046659507436,-0.15756793618787324
weekly,1.0,0,0.3,0.06717119059955917,-0.16896179450381707,90.24843974567685,0.004444690826243974,0.30325717586962686,0.0012628813574171796,-0.1609283076207617
weekly,0.5,3,0.3,-0.047015119582720526,-0.1702151115359041,61.33954166656793,0.003431113864920709,0.07653050110105449,-0.0013063547341333431,-0.17033704240849024
daily,1.0,0,0.3,0.6176796399916757,-0.18873687388556382,455.5818443506137,0.022942845087476987,1.428068958682905,0.01754724134351031,-0.1271083263785434
biweekly,2.0,0,0.3,-0.05161331854718557,-0.21851298231884336,48.355577014176355,0.0022480815255838016,0.11644849337949177,-0.0006912816984236316,-0.16451082674267503
biweekly,1.0,0,0.1,-0.07158946763747379,-0.22122326212600926,50.26961768902071,0.002393127232516288,0.07868819952794383,-0.0011404177679557315,-0.13966788162454835
weekly,0.5,0,0.3,-0.04428340110953676,-0.25451584854085957,100.12036779727131,0.005336541448626987,0.16652068983534984,-0.0011211979002597443,-0.17609672630074968
biweekly,0.5,0,0.1,-0.20657184465541223,-0.3475217227916441,55.839189717064485,0.002855735219771598,-0.06514416680633286,-0.004171827368495543,-0.16348395758608347
weekly,0.5,0,0.1,-0.1730697779220134,-0.40265759810419743,89.6461981767967,0.004513421379630464,0.05760087121091384,-0.0033864491922831474,-0.1783569118177829
weekly,1.0,0,0.1,-0.1427246579869709,-0.4047922983963172,78.13109045117241,0.0036594750322599436,0.12016658608955666,-0.001985494034505191,-0.16302341823017297
weekly,2.0,0,0.1,-0.22741488930386228,-0.4670430479176566,65.23038000120852,0.0029306490868571127,0.012862721055920798,-0.002773422132090062,-0.16520368732203783
daily,0.5,0,0.3,0.33263658392288525,-0.4970686299907479,495.9460950404599,0.02645809302539926,1.165281790970724,0.010578086849903941,-0.16196444353057637
biweekly,2.0,0,0.1,-0.7013407708619706,-0.8624483677459006,40.64458296271439,0.0018015183314907298,-0.5374661823012272,-0.007693921852301437,-0.18635833279759006
