method,hl,band,dead,sharpe,gross,vol,turn,cost,dd
vol_scale,3,0.0,0.25,0.5503995268639988,0.910466781400557,0.030158186322048305,179.33887371889884,0.010832027229586724,-0.15269112074140878
vol_scale,5,0.1,0.1,0.5215938500518955,0.7234128412072768,0.028606463162944445,105.86429907710259,0.00577457175627882,-0.16746411086714197
vol_scale,5,0.5,0.25,0.5204400191822799,0.7219426362599282,0.031011958274840535,104.69731333329027,0.00617833731778023,-0.16717918152163969
vol_scale,1,0.5,0.25,0.5180991773256794,1.1001784101936811,0.027864523171013594,298.39875247136933,0.016218973459034013,-0.14967203209926938
vol_scale,0,0.0,0.25,0.5163364941489993,1.6269938776357196,0.029594932982135544,556.3136890232213,0.03271901072139047,-0.14351466491386655
vol_scale,1,0.25,0.25,0.5154667873614922,1.0818405121138404,0.031898676651799365,318.3769267274774,0.018074182182541768,-0.1545664093849214
vol_scale,3,0.1,0.25,0.5014929411568013,0.8308141519807365,0.030562281508326915,172.0955877075404,0.010040738004863601,-0.15634829932843397
vol_scale,5,0.0,0.1,0.49550184349290616,0.725927640690563,0.02870114973924016,114.09666556072656,0.006612973591402595,-0.1659712327696008
vol_scale,5,0.5,0.1,0.489427202390178,0.635893071899879,0.029183297462338106,86.75950643207779,0.004267885811832766,-0.1780305217843413
vol_scale,5,0.0,0.25,0.4804693152963293,0.731884299492597,0.03145714210019392,123.3913309679836,0.007825136465886522,-0.15755916790250313
vol_scale,3,0.25,0.1,0.4722048117193478,0.748196898451686,0.026766000089609925,141.56911407465813,0.0073813952410185495,-0.15360118683334423
vol_scale,5,0.1,0.25,0.470324712838846,0.6995586848230316,0.031853696156602565,117.3237913284681,0.00722168155305073,-0.159134811083247
vol_scale,3,0.1,0.1,0.3894214248075926,0.6897102339516762,0.02792128744237298,153.00446100379014,0.00837263514024012,-0.16069811718368232
vol_scale,5,0.25,0.25,0.38811105174667276,0.5801655029112966,0.03536189035641433,111.29166239394274,0.006731088279278239,-0.18947069359852942
vol_scale,3,0.0,0.1,0.36573807939699626,0.7044779135179844,0.027797006496836536,162.4197688103766,0.009403783938311018,-0.15389066907143956
vol_scale,5,0.25,0.1,0.35764319817707907,0.5051945291058533,0.034185343489691974,96.64195415591217,0.005046236287729065,-0.20032770726618454
